time [s],position [m],elevation xf [m]
0.1105,-1.04672800620281e-06,2.76343125356744e-08
0.111,-1.06528255518698e-06,2.92446036802723e-08
0.1115,-1.08407503247113e-06,3.08849497985416e-08
0.112,-1.10310719376519e-06,3.2555633846146e-08
0.1125,-1.12238079386087e-06,3.42569395356448e-08
0.113,-1.14189758649081e-06,3.5989151323783e-08
0.1135,-1.16165932418868e-06,3.77525544019053e-08
0.114,-1.18166775814886e-06,3.95474346795451e-08
0.1145,-1.20192463808277e-06,4.13740787754941e-08
0.115,-1.22243171207879e-06,4.32327740033293e-08
0.1155,-1.24319072645851e-06,4.51238083580725e-08
0.116,-1.26420342563307e-06,4.7047470506213e-08
0.1165,-1.28547155196146e-06,4.90040497680436e-08
0.117,-1.30699684560402e-06,5.0993836110671e-08
0.1175,-1.3287810443784e-06,5.30171201285431e-08
0.118,-1.35082588361611e-06,5.50741930349551e-08
0.1185,-1.37313309601412e-06,5.71653466470508e-08
0.119,-1.39570441149111e-06,5.92908733714622e-08
0.1195,-1.41854155704014e-06,6.14510661916863e-08
0.12,-1.44164625658054e-06,6.36462186553006e-08
0.1205,-1.46502023081298e-06,6.58766248594011e-08
0.121,-1.48866519706951e-06,6.81425794367422e-08
0.1215,-1.51258286916592e-06,7.04443775416612e-08
0.122,-1.53677495725365e-06,7.27823148373068e-08
0.1225,-1.56124316767022e-06,7.51566874798955e-08
0.123,-1.58598920278955e-06,7.75677921078414e-08
0.1235,-1.61101476087391e-06,8.00159258224097e-08
0.124,-1.63632153592013e-06,8.25013861802726e-08
0.1245,-1.66191121751344e-06,8.5024471172666e-08
0.125,-1.68778549067356e-06,8.75854792156096e-08
0.1255,-1.713946035704e-06,9.0184709132921e-08
0.126,-1.74039452804227e-06,9.28224601436504e-08
0.1265,-1.76713263810499e-06,9.54990318453881e-08
0.127,-1.79416203113858e-06,9.82147242033017e-08
0.1275,-1.82148436706538e-06,1.00969837531534e-07
0.128,-1.84910130033053e-06,1.03764672480767e-07
0.1285,-1.87701447974926e-06,1.0659953002242e-07
0.129,-1.90522554835525e-06,1.09474711435567e-07
0.1295,-1.93373614324426e-06,1.12390518290703e-07
0.13,-1.9625478954211e-06,1.15347252435771e-07
0.1305,-1.9916624296476e-06,1.18345215979207e-07
0.131,-2.02108136428498e-06,1.21384711279103e-07
0.1315,-2.0508063111426e-06,1.24466040923949e-07
0.132,-2.08083887531905e-06,1.27589507720111e-07
0.1325,-2.11118065505236e-06,1.30755414676248e-07
0.133,-2.14183324156112e-06,1.3396406498944e-07
0.1335,-2.17279821888946e-06,1.37215762026905e-07
0.134,-2.20407716375342e-06,1.40510809314272e-07
0.1345,-2.23567164538342e-06,1.4384951052061e-07
0.135,-2.2675832253694e-06,1.47232169438005e-07
0.1355,-2.29981345750316e-06,1.50659089975095e-07
0.136,-2.33236388762602e-06,1.54130576133137e-07
0.1365,-2.36523605346847e-06,1.57646931997959e-07
0.137,-2.39843148449607e-06,1.61208461719873e-07
0.1375,-2.43195170175225e-06,1.64815469500941e-07
0.138,-2.46579821770231e-06,1.68468259580694e-07
0.1385,-2.49997253607604e-06,1.72167136216076e-07
0.139,-2.53447615171072e-06,1.75912403673384e-07
0.1395,-2.5693105503977e-06,1.79704366206829e-07
0.14,-2.60447720871984e-06,1.83543328046962e-07
0.1405,-2.63997759390002e-06,1.87429593383931e-07
0.141,-2.67581316364127e-06,1.91363466354867e-07
0.1415,-2.71198536597082e-06,1.95345251022782e-07
0.142,-2.74849563908317e-06,1.99375251367039e-07
0.1425,-2.78534541118331e-06,2.0345377127083e-07
0.143,-2.82253610032938e-06,2.07581114494482e-07
0.1435,-2.8600691142765e-06,2.11757584672708e-07
0.144,-2.89794585031936e-06,2.15983485291581e-07
0.1445,-2.9361676951355e-06,2.2025911967817e-07
0.145,-2.97473602463026e-06,2.24584790984282e-07
0.1455,-3.01365220377673e-06,2.28960802167341e-07
0.146,-3.05291758646329e-06,2.33387455983419e-07
0.1465,-3.09253351533368e-06,2.37865054964514e-07
0.147,-3.13250132163234e-06,2.42393901407856e-07
0.1475,-3.17282232504927e-06,2.4697429736128e-07
0.148,-3.21349783356084e-06,2.51606544604688e-07
0.1485,-3.25452914327641e-06,2.56290944639698e-07
0.149,-3.29591753828261e-06,2.61027798672835e-07
0.1495,-3.33766429048495e-06,2.65817407600751e-07
0.15,-3.3797706594554e-06,2.70660071994297e-07
0.1505,-3.42223789227637e-06,2.75556092087285e-07
0.151,-3.46506722338388e-06,2.80505767758779e-07
0.1515,-3.50825987441495e-06,2.85509398518744e-07
0.152,-3.55181705405098e-06,2.90567283496707e-07
0.1525,-3.59573995786447e-06,2.95679721422134e-07
0.153,-3.64002976816514e-06,3.00847010616145e-07
0.1535,-3.68468765384463e-06,3.06069448972315e-07
0.154,-3.72971477022345e-06,3.11347333943764e-07
0.1545,-3.77511225889772e-06,3.16680962530021e-07
0.155,-3.82088124758659e-06,3.22070631260875e-07
0.1555,-3.86702284997676e-06,3.27516636185319e-07
0.156,-3.91353816557467e-06,3.33019272854885e-07
0.1565,-3.96042827954888e-06,3.38578836310299e-07
0.157,-4.00769426258123e-06,3.441956210675e-07
0.1575,-4.05533717071544e-06,3.49869921104047e-07
0.158,-4.1033580452043e-06,3.55602029846195e-07
0.1585,-4.15175791236149e-06,3.6139224015534e-07
0.159,-4.20053778340697e-06,3.67240844309466e-07
0.1595,-4.24969865432066e-06,3.73148133998457e-07
0.16,-4.29924150569076e-06,3.79114400302982e-07
0.1605,-4.34916730256608e-06,3.85139933684289e-07
0.161,-4.39947699430387e-06,3.91225023969646e-07
0.1615,-4.4501715144258e-06,3.97369960342247e-07
0.162,-4.50125178046774e-06,4.03575031324556e-07
0.1625,-4.55271869383066e-06,4.09840524766029e-07
0.163,-4.60457313963691e-06,4.16166727830537e-07
0.1635,-4.65681598658071e-06,4.22553926984453e-07
0.164,-4.70944808678428e-06,4.29002407981719e-07
0.1645,-4.7624702756492e-06,4.35512455852061e-07
0.165,-4.81588337171639e-06,4.42084354889461e-07
0.1655,-4.86968817651728e-06,4.48718388639334e-07
0.166,-4.92388547442927e-06,4.55414839882471e-07
0.1665,-4.97847603253639e-06,4.62173990629167e-07
0.167,-5.03346060048343e-06,4.68996122100236e-07
0.1675,-5.08883991033332e-06,4.75881514718493e-07
0.168,-5.14461467642504e-06,4.82830448099424e-07
0.1685,-5.20078559523796e-06,4.89843201030069e-07
0.169,-5.25735334524295e-06,4.96920051467843e-07
0.1695,-5.31431858676731e-06,5.04061276520095e-07
0.17,-5.37168196185524e-06,5.11267152439093e-07
0.1705,-5.4294440941279e-06,5.18537954606602e-07
0.171,-5.48760558864583e-06,5.25873957520072e-07
0.1715,-5.54616703177198e-06,5.33275434788244e-07
0.172,-5.60512899103451e-06,5.40742659113102e-07
0.1725,-5.66449201499036e-06,5.48275902282646e-07
0.173,-5.72425663309146e-06,5.55875435157655e-07
0.1735,-5.78442335554894e-06,5.63541527663068e-07
0.174,-5.84499267319859e-06,5.71274448772685e-07
0.1745,-5.90596505736899e-06,5.79074466503023e-07
0.175,-5.96734095974982e-06,5.86941847903139e-07
